Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
nd	ASQ	about to X; right before X	start X-ing; start/beginning of X	just started X-ing; right after the start of X	in the middle of the first half of X	in the middle of X-ing	in the middle of the last half of X	about to stop X-ing; right before the end of X	stop X-ing; the end of X	just stopped X-ing; right after X		
nḑ	STT	happening yesterday	happening some hours ago, earlier today	happening less than an hour ago	happening a few moments ago	happening at this very moment	happening a few moments from now	happening less than an hour from now	happening some hours from now, later today	happening tomorrow		
ňd	PLN	ad hoc / impromptu / unplanned (no forewarning)	ad hoc / improvised (forewarned but no preparation performed)	off-the-cuff (forewarned but no planning or preparation necessary due to necessary resources/skills being at hand)	unplanned but prepared (e.g., due to prior experience and having necessary resources at hand)	in the planning stages; being planned	conceptually planned but not (yet) prepared (i.e., a plan of action exists but the necessary resources/skills have not (yet) been identified or obtained)	conceptually planned and in the process of preparing	pre-planned and prepared	meticulously planned, prepared, and rehearsed/practiced		
ňḑ	IDF	any (of the various/number of)	almost any	some or other	a certain (unknown)	this or that	particular	presumably this	particular you know	particular I know		
nf	NTR	spurned, scorned, vilified, pariah-like/ostracized; in an alienating or self-ostracizing manner	infamous, infamously	frowned-upon/disapproved , in a manner guaranteed to arouse disapproval	tolerated, in a tolerated manner	common/customary/expected/accepted; in an common, customary, expected, or accepted manner	notorious(ly) (i.e., well-known but in a less-than favorable manner)	well-known/well-liked/well thought of, in a totally appropriate way/in a socially acceptable manner	respected/honored, respectfully/honorably	highly praised/highly honored/highly esteemed/highly respected/most excellent/most honorable		
ňf	VTS	highly variable/chaotic transition from one state/form/shape/set of circumstances to another	disjointed/non-contiguous/non-continuous break/shift from one state/form/shape/set of circumstances to another	disjointed/non-contiguous/non-continuous break/shift from one state/form/shape/set of circumstances to another	somewhat variable/changing/fluctuating transition period/zone from one state/form/shape/set of circumstances to another	below-average or less-than-normal degree of variability/fluctuation in transition from one state/form/shape/set of circumstances to another	normal/standard/expected degree of smoothness/gradualness of transition from one state/form/shape/set of circumstances to another	above-average or greater-than-normal degree of smoothness/gradualness of transition from one state/form/shape/set of circumstances to another	somewhat smooth, gradual transition period/zone from one state/form/shape/set of circumstances to another	smooth, gradual transition period/zone from one state/form/shape/set of circumstances to another		
ng	VAM	km/hr [km/hr²₂]	km/s [km/s²₂]	m/s [m/s²₂]	mm/s [mm/s²₂]	μm/s [μm/s²₂]	miles/s [miles/s²₂]	ft/s [ft/s²₂]	in/s [in/s²₂]	miles/hr [miles/hr²₂]		
nh	PXM	too close	as close as possible without contact	very close to	close to	somewhat close to	not very close to/somewhat far from	far from/distant from	very far away/very far from	too far away		
nk	ENT	under duress or coercion	against one’s will or desire	only to appease another party	reluctantly	with indifference, with no great enthusiasm	somewhat willingly, with mild reluctance	willing(ly)	with a fair degree of enthusiasm, with some enthusiasm	with great enthusiasm, enthusiastically, with gusto		
nļ	IVL	(ASR) Assertive [(OBS) Observational₂]	(DIR) Directive [(REC) Recollective₂]	(DEC) Declarative [(PUP) Purportive₂]	(IRG) Interrogative [(RPR) Reportive₂]	(VER) Verificative [(USP) Unspecified₂]	(ADM) Admonitive [(IMA) Imaginary₂]	(POT) Potentiative [(CVN) Conventional₂]	(HOR) Hortative [(ITU) Intuitive₂]	(CNJ) Conjectural [(INF) Inferential₂]		
nř	AGN	with the anticipated max. resulting effect possible	with the anticipated resulting effect to a high degree	with the anticipated resulting effect to a moderate degree	with the anticipated resulting effect but only to a marginal, superficial or barely noticeable degree	with no noticeable effect or resulting change	with only marginal, superficial, or barely noticeable effect or resulting change unanticipated	with moderate effect or resulting change — unanticipated	with the resulting effect to a high degree — unanticipated	with the max. resulting effect possible — unanticipated		
ňř	PRV	completely blocked/prevented from occurring/manifesting (naturally so)	fully restricted - manifestation/occurrence determined by natural conditions	partially restricted, partially blocked/impeded/prevented (naturally so)	slightly restricted, slightly impeded by natural conditions	totally free to X, nothing preventing or impeding the manifestation of X	slightly restricted, slightly impeded by certain rules or artificial conditions	partially restricted, partially blocked/impeded/prevented (artificially so)	fully restricted/regulated, manifestation/occurrence conditioned by rules	completely blocked/prevented from occurring/manifesting (artificially so)		
ns	XX7	7th in physical arrangement	7th in agreed-upon order	7th in hierarchical order	7th	w/7 instances	w/7 or more instances	w/7 parts/sections	w/7 nodes/connections/points	w/7 hierarchical levels/tiers	0	Seven
nš	BAS	X-based; on the basis of X  ( = general overall basis for something, i.e., X as both the idea behind and model for something)	X-based, on the basis of X ( = as the intellectual basis for, X as the idea behind something)	X-based; modeled upon/after X ( = in functionality/purpose, not in form/shape; for the latter, see the SHP affix below)	X-derived, derived from X	X-patterned/arranged (not in visual shape/form, but in structural arrangement or structural principles; for visual shape/form patterning, see SHP affix below)	X-inspired, inspired by X	X-driven, driven/powered by X	motivated by X	X-triggered; triggered by X ( = X as unwitting/non-causative stimulus for action)		
ňs	OSQ	wished-for or hoped-for but so far has never come to pass	missed-out on (opportunity has arisen but one isn’t/wasn’t able or permitted to act upon it despite desire to do so)	missed-out on (opportunity has arisen but is/was passed by or ignored)	squandered (opportunity has arisen but attempt to act upon it is/was well-done but unsuccessful)	missed-out on (opportunity has never arisen and is not likely to arise)	squandered (opportunity has arisen but is/was acted upon incorrectly or incompetently)	squandered (opportunity has arisen but the attempt to act upon it is/was thwarted by external entities/factors)	squandered/missed-out on (opportunity passed by due to ignorance or not being informed)	irreversibly involved/engrossed in X(-ing)		
ňš	PSS	the X which one circumstantially possesses/uses/handles at the moment or with which one is momentarily/circumstantially/informally associated	the X circumstantially/informally/temporarily taken by, or circumstantially/informally given/assigned/designated to one for their use/possession/responsibility	the X formally/officially taken by, or formally/officially given/assigned/designated to one for their use/possession/responsibility as per purchase, formal gift, declaration, contract, or other societal convention.	(one’s) own/(one’s) personal X [informally/circumstantial/temporarily/contextually]	(one’s) own/(one’s) personal X [formally/officially/contractually/(quasi-)permanently	(one’s) own private X	one’s own private and unique/custom X, known by, but unavailable to others	one’s own secret and concealed X unknown to others	one’s own secret and concealed X, unique/custom and unknown to others		
